quesNo,rightAns,ans
1,0,"A. Common-use Applications, Data is Shared, Data is Accessible, Data is Secure, Interoperability, Control Technical Diversity."
1,0,"B. Business Continuity, Service-orientation, Data is Accessible, Data is Secure, Responsive Change Management."
1,1,"C. Maximize Benefit to the Enterprise, Business Continuity, Common-use Applications, Data is Shared, Data is Accessible, Data is Secure."
1,0,"D. Information Management is Everybody's Business, IT Responsibility, Data Trustee, Technology<p>Independence, Responsive Change Management. "
2,0,A. You recommend using conventional implementation planning techniques. The horizontal scope of the Green initiative would make the Capability-Based Planning approach used in the organization's TOGAF-based Enterprise Architecture framework difficult to manage and govern.<p>This approach to planning was better applied within the vertical scope of a business unit.
2,1,B. You recommend that the implementation planning activities be conducted using CapabilityBased Planning. This is appropriate because the Green initiative is an enterprise-wide plan with a horizontal scope. Its metrics are aggregated at the enterprise level. It is crucial to gain business unit support and cooperation to achieve the broader business outcomes which will benefit all. 
2,0,"C. The Capability-Based Planning approach used in the organization's TOGAF-based Enterprise Architecture framework is focused on business outcomes. The Green initiative is an infrastructure program that is technical in nature; therefore, it would not be appropriate to use the CapabilityBased Planning approach. Instead, the Global Mobile systems development lifecycle approach should be utilized to develop the Solution Architecture. "
2,0,"D. You recommend using conventional implementation planning techniques. The Capability-Based Planning approach is normally only used in public sector, defense-related programs. This approach is not appropriate for a private sector company. "
3,1,"A. You evaluate the implications of the Board's concern in terms of regulatory and security policy requirements. You then update the AGEX security policy to reflect the concern, ensuring that this policy is communicated across the organization. <p>You allocate a security architecture team to ensure that security considerations are included in ongoing architecture planning. You then assess the security implications and agreements within the AGEX businesses and their suppliers. "
3,0,"B. You evaluate the implications of the Board's concern in terms of regulatory requirements and their impact on business goals and objectives. Based on this understanding, you then issue a Request for Architecture Work to commence an architecture development project to develop a solution that will address the Board's concern. <p>You allocate a security architect to oversee the implementation of the solution in the ERP system that is being developed. "
3,0,C. You start by clarifying the intent that the Board has for raising this concern. This enables you to understand the implications of the concern in terms of regulatory requirements and the potential impact on current business goals and objectives. <p>You propose that a security architect or security architecture team be allocated to develop comprehensive security architecture. 
3,0,"D. You evaluate the implications of the Board's concern by examining the potential impacts on business goals and objectives. Based on your understanding, you then update the current AGEX security policy to include an emphasis on the Board's concern. <p>In addition, you allocate a security architect to ensure that security considerations are included in the architecture planning for all domains. "
4,0,"A. You create an Architecture Contract to manage and govern the implementation and migration process. If the contract is issued to an external party, you ensure that it is a fully enforceable legal contract. For internal development projects, you decide it is adequate to utilize a memorandum of understanding between the Manufacturing Architecture Board and the implementation organization. <p>You recommend that if a deviation from the contract is detected, the Manufacturing Architecture Board should modify the Architecture Contract to allow the implementation organization the ability to customize the process to meet their local needs. As a result, you then issue a new Request for Architecture Work to implement the modified Architecture Definition. "
4,0,"B. You create an Architecture Contract to manage and govern the implementation and migration process. If the contract is issued to an external party, you ensure that it is a fully enforceable legal contract. For internal envelopment projects, you decide it is adequate to utilize a memorandum of understanding between the Manufacturing Architecture Board and the implementation organization. <p>You recommend that if a deviation from the Architecture Contract is detected, the Manufacturing Architecture Board grant a dispensation to allow the implementation organization the ability to customize the process to meet their local needs. "
4,1,"C. You create an Architecture Contract to manage and govern the implementation and migration process. If the contract is issued to an external party, you ensure that it is a fully enforceable legal contract. For internal development projects, you decide it is adequate to utilize a memorandum of understanding between the Manufacturing Architecture Board and the implementation organization. <p>You ensure that the Manufacturing Architecture Board reviews all deviations from the Architecture Contract, and considers whether or not to grant a dispensation to allow the implementation organization to customize the process to meet their local needs. "
4,0,"D. You create an Architecture Contract to govern the implementation and migration process at each site. If the contract is issued to an external party, you ensure that it is a fully enforceable legal contract. You ensure that the contract addresses the project objectives, effectiveness metrics, acceptance criteria, and risk management. <p>You then schedule compliance reviews at key points in the implementation process to ensure that the work is proceeding in accordance with the Architecture Definition. Based on the results, you ensure that the Manufacturing Architecture Board reviews all deviations from the Architecture Contract, and considers whether or not to grant a dispensation to allow the implementation organization to customize the process to meet their local needs. "
5,0,"A. You decide that in Phase E, the team creates an overall solutions strategy that can guide the Target Architecture implementation and structure the Transition Architectures. You check that there is consensus before proceeding. "
5,1,"B. You decide to return to Phase A, where the team should brainstorm a technical solution that mitigates the residual risks presented by the privacy issue. Then, during Phase D, you will direct the team to develop an Architecture Building Block to manage the security risks. After that, the team should select Solution Building Blocks that mitigate all of the identified risks and revise the Requirements Impact Statement to reflect the changes to the high-level solutions strategy and migration plan. "
5,0,"C. You decide that in Phase E, the team review the Business Transformation Readiness Assessment and identify, classify, and mitigate the risks associated with the identified readiness factors. If the risks can be satisfactorily mitigated, then you would continue to define a high-level solutions strategy that includes the Transition Architectures needed to make the change culturally and technically feasible. "
5,0,"D. You decide that in Phase E, the team determines an approach to implementing an overall strategic direction that will address and mitigate the risks identified. "
6,1,"A. Depending on the nature of the architecture, a set of models should be created that can be used to ensure that the system will be compliant with the local regulations. Stakeholders should be able to view the models to see that their concerns have been properly addressed. "
6,0,B. Each architecture activity should be developed using a consistent modeling approach that is uniform across all architecture projects. Each architecture should be defined based on this fixed set of models so that all concerned parties can examine the models to ensure that their issues and concerns have been accessed. 
6,0,"C. For those groups that have sufficient power and level of interest, a special report should be created that summarizes the key features of the architecture with respect to the particular location.<p>Each of these reports should reflect the stakeholders' requirements. "
6,0,D. It would be beneficial to develop a stakeholder map that allows the architects to define groups of stakeholders that share common concerns. A set of views should be defined that addresses the concerns each group. Architecture models can then be created for each view to address the stakeholders' concerns. 
7,0,A. In the early iterations of the Architecture Definition:  <p>¥ Describe the Baseline Business Architecture with a Baseline Business Process catalog <p>¥ Describe the Baseline Application Architecture with a Technology Portfolio catalog ¥ Describe the Baseline Data Architecture with a Data diagram In the later iterations of the Architecture Definition:  <p>¥ Describe the Target Business Architecture with an Actor/Process/Data catalog <p>¥ Describe the Target Application Architecture with a System/Technology matrix ¥ Describe the Target Data Architecture with a Data Dissemination diagram 
7,1,B. In the early iterations of the Architecture Definition:  <p>¥ Describe the Target Business Architecture with a Business Service/Function catalog and aBusiness Interaction matrix <p>¥ Describe the key business objects with Product Lifecycle diagrams <p>¥ Describe the Target Application Architecture with Application Communication diagrams and anApplication Interaction matrix <p>¥ Describe the Target Data Architecture with a Data Entity/Business Function matrix and aSystem/Data matrix <p>In the later iterations of the Architecture Definition:  <p>¥ Describe the Baseline Business Architecture with a Business Service/Function catalog and aBusiness Interaction matrix <p>¥ Describe the Baseline Application Architecture with a System/Organization matrix and a<p>System/Function matrix <p>¥ Describe the Baseline Data Architecture with a Data Entity/Data Component catalog 
7,0,C. In the early iterations of the Architecture Definition:  <p>¥ Describe the Target Business Architecture with a Business Service/Function catalog and anOrganization/Actor catalog <p>¥ Describe the key business objects with Data Lifecycle diagrams <p>¥ Describe the Target Application Architecture with Application Communication diagrams and anApplication Interaction matrix <p>¥ Describe the Target Data Architecture with a System/Data matrix In the later iterations of the Architecture Definition:  <p>¥ Describe the Baseline Business Architecture with a Business Service/Function catalog and aBusiness Interaction matrix <p>¥ Describe the Baseline Application Architecture with an Application and User Location diagramand a System/Function matrix <p>¥ Describe the Baseline Data Architecture with a Data Entity/Data Component catalog 
7,0,D. In the early iterations of the Architecture Definition:  <p>¥ Describe the Baseline Business Architecture with an Organization/Actor catalog <p>¥ Describe the Baseline Application Architecture with a System/Function matrix ¥ Describe the Baseline Data Architecture using a Data Entity/Data Component catalog In the later iterations of the Architecture Definition:  <p>¥ Describe the Target Business Architecture with en Organization/Actor catalog <p>¥ Describe the Target Application Architecture using Application Communication diagrams end anApplication Interaction matrix <p>¥ Describe the Target Data Architecture with a System/Data matrix 
8,0,"A. An interoperability analysis should be applied to evaluate any potential issues across the Solution Architecture. Once all of the concerns have been resolved, the EA team should finalize the Architecture Implementation Roadmap and the Migration Plan. "
8,0,"B. The EA team should gather information about potential solutions from the appropriate sources. Once the Solution Architecture has been assembled, it should be analyzed using a state evolution table to determine the Transition Architectures. "
8,1,"C. Prior to preparing the Implementation plan, the EA team should create a consolidated gap analysis to understand the transformations that are required to achieve the proposed Target Architecture. The EA team should gather information about potential solutions from the appropriate sources. Once the Solution Architecture has been assembled, it should be analyzed using a state evolution table to determine the Transition Architectures. An interoperability analysis should be applied to evaluate any potential issues across the Solution Architecture. "
8,0,"D. Prior to preparing the Implementation plan, there are several techniques that should be applied to assess the risks and value of the proposed transformation. In particular, the EA team should pay attention to the Business Transformation Readiness Assessment and the Business Value<p>Assessment.  "
9,0,"A. You observe that all of the features in the Architecture Definition Document have been implemented in accordance with the specification, except for the RPC mechanism. Your recommendation is that the system be described as conformant. "
9,0,"B. You observe that the system has many features in common with the Architecture Definition Document, and those features have been implemented in accordance with the specification. However, you note that the RPC mechanism has been implemented using features that are not covered by the specification. Your recommendation is that the system be described as consistent. "
9,0,"C. You observe that the implementation of the RPC mechanism has no features in common with the Architecture Definition Document, therefore the question of its conformance should not be considered. Your recommendation is that the system be described as consistent. "
9,1,"D. You observe that the system meets most of the requirements stated in the Architecture Definition Document and appears to work correctly. However, you note that the RPC mechanism has not been implemented according to the specification. Your recommendation is that the system be described as non-conformant. "
10,1,A. The team should hold a series of interviews at each of the manufacturing plants using the business scenario technique. This will then enable them to identify and document the characteristics of the architecture from the business requirements. 
10,0,"B. The team should exercise due diligence and carefully research vendor literature and conduct a series of briefings with vendors that are on the current approved supplier list. Based on the findings from the research, the team should define a preliminary target Architecture Vision. The team should then use that model to build consensus among the key stakeholders. "
10,0,"C. The team should create Baseline and Target Architectures for each of the manufacturing plants. A gap analysis between the architectures will then validate the approach, and determine the Transition Architecture needed to achieve the target state. "
10,0,"D. The team should conduct a pilot project that will enable vendors on the short list to demonstrate potential solutions that will access the concerns of the stakeholders. Based on the findings of that pilot project, a complete set of requirements can be developed that will arrive the evolution of the architecture.  "
11,1,"A. Create an Implementation Factor Assessment and Deduction Matrix and a Consolidated Gaps, Solutions and Dependencies Matrix. For each gap, identify a proposed solution and classify it as new development, purchased solution, or based on an existing product. Group similar solutions together to form work packages. Identify dependencies between work packages factoring in the clinical trial schedules. Regroup the packages into a set of Capability Increments scheduled into a series of Transition Architectures and documented in an Architecture Definition Increments Table. "
